,0,1,2
134,Maharani Usharaje Trust Cricket Ground,290.0,263.5
135,Kennington Oval,263.076923077,228.307692308
136,St George's Park,238.642857143,196.0
137,ICC Academy,265.75,245.0
138,"Queen's Park Oval, Port of Spain",238.285714286,161.333333333
139,Sydney Cricket Ground,256.676470588,198.882352941
140,"Nehru Stadium, Fatorda",262.0,239.0
141,Lord's,241.5,218.818181818
142,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,278.75,232.5
143,"Civil Service Cricket Club, Stormont",186.8125,155.5
144,"Mission Road Ground, Mong Kok",238.0,177.0
145,"MA Chidambaram Stadium, Chepauk",234.818181818,216.0
146,Clontarf Cricket Club Ground,206.5,168.071428571
147,Trent Bridge,261.615384615,231.153846154
148,Queens Sports Club,232.121212121,209.606060606
149,"Warner Park, Basseterre",285.176470588,209.117647059
150,Gymkhana Club Ground,197.166666667,174.833333333
151,Wankhede Stadium,291.333333333,222.166666667
152,Himachal Pradesh Cricket Association Stadium,248.666666667,230.666666667
153,Ruaraka Sports Club Ground,194.0,198.0
154,Western Australia Cricket Association Ground,246.208333333,209.875
155,R Premadasa Stadium,234.959183673,181.775510204
156,Kingsmead,279.071428571,208.142857143
157,Sedgars Park,326.5,243.0
158,"Brisbane Cricket Ground, Woolloongabba",241.913043478,200.869565217
159,Mombasa Sports Club Ground,218.5,160.5
160,Saxton Oval,246.4,219.1
161,Eden Gardens,283.222222222,202.222222222
162,Eden Park,237.090909091,208.545454545
163,Riverside Ground,253.875,175.5
164,"The Village, Malahide",239.0,176.857142857
